class;bill_length_mm;bill_depth_mm;flipper_length_mm;body_mass_g;sex_female;sex_male
Adelie;-0,8932176487739815;0,7585868996669278;-1,4366709532871553;-0,5972581246191013;-0,9600977603854758;0,9600977603854758
Adelie;-0,8165363214479793;0,04731724555003983;-1,0453066771303756;-0,5319300499389834;1,041560600660607;-1,041560600660607
Adelie;-0,6631736667959748;0,37559554745014256;-0,3408509800481724;-1,2505388714202808;1,041560600660607;-1,041560600660607
Adelie;-0,030552716356453565;0,10203029586672427;-0,26257812481681647;-0,18895765786836427;-0,9600977603854758;0,9600977603854758
Adelie;-1,353305612729996;3,3574567897094036;-0,49739669051088425;-0,989226572699809;1,041560600660607;-1,041560600660607
Adelie;-0,854876985110981;1,7981348556839185;-0,732215256204952;-0,7279142739793373;-0,9600977603854758;0,9600977603854758
Adelie;-0,9315583124369832;0,2661694468167756;-1,4366709532871553;-0,7605783113193962;1,041560600660607;-1,041560600660607
Adelie;-0,8740473169424805;1,251004352517082;-0,3408509800481724;0,6113112569630804;-0,9600977603854758;0,9600977603854758
Adelie;-1,8517342403490125;0,430308597766827;-0,49739669051088425;-0,95656253535975;-0,9600977603854758;0,9600977603854758
Adelie;-0,3372780256604637;1,5792826544171827;-0,732215256204952;0,05602262218207799;-0,9600977603854758;0,9600977603854758
Adelie;-1,1424319625834902;-0,1168219054000096;-1,0453066771303756;-1,1852107967401628;-0,9600977603854758;0,9600977603854758
Adelie;-1,1424319625834902;-0,007395804766642669;-1,5149438085185112;-0,6625861992992192;-0,9600977603854758;0,9600977603854758
Adelie;-0,030552716356453565;0,1567433461834087;-1,3583980980557995;-1,3158669461003987;1,041560600660607;-1,041560600660607
Adelie;-0,030552716356453565;2,1264131575840195;-0,6539424009735961;-0,5319300499389834;-0,9600977603854758;0,9600977603854758
Adelie;-0,030552716356453565;2,071700107267337;-0,10603241435410461;0,2520068462224318;-0,9600977603854758;0,9600977603854758
Adelie;-1,372475944561497;0,2661694468167756;-1,1235795323617317;-0,6625861992992192;1,041560600660607;-1,041560600660607
Adelie;-0,9698989760999837;0,9227260506169792;-0,3408509800481724;-0,989226572699809;1,041560600660607;-1,041560600660607
Adelie;-0,24142636650296065;1,8528479060006011;-0,18430526958546053;0,38266299558266764;-0,9600977603854758;0,9600977603854758
Adelie;-1,794223244854511;0,5944477487168764;3,7684739195980135;-1,1525467594001038;1,041560600660607;-1,041560600660607
Adelie;0,429535247599561;2,2905523085340707;-0,4191238352795283;-0,009305452498039945;-0,9600977603854758;0,9600977603854758
Adelie;-1,1424319625834902;0,539734698400194;-1,9845809399066467;-1,054554647379927;1,041560600660607;-1,041560600660607
Adelie;-1,1616022944149897;0,7585868996669278;-1,5149438085185112;-0,7932423486594552;-0,9600977603854758;0,9600977603854758
Adelie;-1,5066682673820018;1,0321521512503462;-0,810488111436308;-0,5319300499389834;1,041560600660607;-1,041560600660607
Adelie;-1,0657506352574868;0,430308597766827;-1,1235795323617317;-0,33594582589862965;-0,9600977603854758;0,9600977603854758
Adelie;-0,9507286442684841;-0,06210885508332711;-1,5149438085185112;-0,5319300499389834;-0,9600977603854758;0,9600977603854758
Adelie;-0,030552716356453565;0,8680130003002947;-0,9670338218990198;-0,5319300499389834;1,041560600660607;-1,041560600660607
Adelie;-0,6056626713014721;0,10203029586672427;-1,2801252428244434;-0,8585704233395731;-0,9600977603854758;0,9600977603854758
Adelie;-0,6248330031329731;0,3208824971334581;-0,26257812481681647;-1,3158669461003987;1,041560600660607;-1,041560600660607
Adelie;-1,1232616307519894;0,7038738493502453;-2,1411266503693587;-0,18895765786836427;1,041560600660607;-1,041560600660607
Adelie;-0,6248330031329731;0,8680130003002947;-0,26257812481681647;-0,33594582589862965;-0,9600977603854758;0,9600977603854758
Adelie;-0,8165363214479793;0,10203029586672427;-1,671489518981223;-1,2505388714202808;1,041560600660607;-1,041560600660607
Adelie;-0,030552716356453565;0,430308597766827;-1,671489518981223;-0,40127390057874757;-0,9600977603854758;0,9600977603854758
Adelie;-0,8165363214479793;0,10203029586672427;-0,8887609666676638;-1,1852107967401628;1,041560600660607;-1,041560600660607
Adelie;-0,5481516758069708;0,8680130003002947;-0,26257812481681647;-0,40127390057874757;-0,9600977603854758;0,9600977603854758
Adelie;-1,4108166082244986;-0,17153495571669405;-0,3408509800481724;-0,18895765786836427;1,041560600660607;-1,041560600660607
Adelie;-0,8740473169424805;2,071700107267337;-0,26257812481681647;-0,07463352717815788;-0,9600977603854758;0,9600977603854758
Adelie;-0,9507286442684841;1,4698565537838157;-0,732215256204952;-0,33594582589862965;-0,9600977603854758;0,9600977603854758
Adelie;-0,29893736199746196;0,6491607990335609;-1,5149438085185112;-0,8585704233395731;1,041560600660607;-1,041560600660607
Adelie;-1,1807726262464908;1,0868652015670306;-1,4366709532871553;-1,1852107967401628;1,041560600660607;-1,041560600660607
Adelie;-0,7590253259534779;0,9774391009336636;-1,2018523875930875;0,5786472196230215;-0,9600977603854758;0,9600977603854758
Adelie;-1,3916462763929978;0,37559554745014256;-1,3583980980557995;-1,3811950207805166;1,041560600660607;-1,041560600660607
